Rank,Player,Team,Position,Age,PassCompletions,PassAttempts,PassYards,PassTouchdowns,Interceptions,RushAttempts,RushYards,RushYardsPerAttempt,RushTouchdowns,PassTargets,Receptions,ReceivingYards,ReceivingYardsPerAttempt,ReceivingTouchdowns,Fumbles,FumblesLost,Touchdowns,PPR,PositionRank,OverallRank,ID
1,Christian McCaffrey,SFO,RB,27,0,0,0,0,0,210,1032,4.91,12,62,51,429,8.41,5,3,2,17,295.1,1,1,McCaCh01
2,Tyreek Hill,MIA,WR,29,0,0,0,0,0,5,15,3,0,127,93,1481,15.92,12,1,1,12,312.6,1,2,HillTy00
3,CeeDee Lamb,DAL,WR,24,0,0,0,0,0,9,84,9.33,1,121,90,1182,13.13,7,2,1,8,264.6,2,3,LambCe00
4,Josh Allen,BUF,QB,27,295,433,3214,24,13,62,342,5.52,9,0,0,0,,0,4,3,9,286.8,1,4,AlleJo02
5,Raheem Mostert,MIA,RB,31,0,0,0,0,0,162,828,5.11,14,28,21,166,7.9,2,4,1,16,214.4,2,5,MostRa00
6,Jalen Hurts,PHI,QB,25,268,403,2995,19,10,121,430,3.55,12,0,0,0,,0,7,4,12,282.8,2,6,HurtJa00
7,Keenan Allen,LAC,WR,31,1,1,49,1,0,2,6,3,0,138,102,1175,11.52,7,2,1,7,266.1,3,7,AlleKe00
8,Mike Evans,TAM,WR,30,0,0,0,0,0,0,0,,0,103,61,1012,16.59,10,0,0,10,222.2,4,8,EvanMi00
9,A.J. Brown,PHI,WR,26,0,0,0,0,0,0,0,,0,118,81,1164,14.37,7,0,0,7,239.4,5,9,BrowAJ00
10,Travis Etienne,JAX,RB,24,0,0,0,0,0,205,771,3.76,8,52,40,346,8.65,1,0,0,9,209.7,3,10,EtieTr00
11,Ja'Marr Chase,CIN,WR,23,1,1,-7,0,0,3,-6,-2,0,124,86,1063,12.36,7,1,0,7,233.4,6,11,ChasJa00
12,Stefon Diggs,BUF,WR,30,0,0,0,0,0,0,0,,0,121,83,969,11.67,8,2,1,8,227.9,7,12,DiggSt00
13,Travis Kelce,KAN,TE,34,0,0,0,0,0,0,0,,0,93,74,813,10.99,5,1,1,5,183.3,1,13,KelcTr00
14,Dak Prescott,DAL,QB,30,288,411,3234,26,6,41,174,4.24,2,0,0,0,,0,1,0,2,254.8,3,14,PresDa01
15,Amon-Ra St. Brown,DET,WR,24,0,0,0,0,0,3,13,4.33,0,115,84,1042,12.4,6,1,1,6,223.5,8,15,StxxAm00
16,Sam LaPorta,DET,TE,22,0,0,0,0,0,0,0,,0,86,64,679,10.61,6,0,0,6,171.9,2,16,LaPoSa01
17,T.J. Hockenson,MIN,TE,26,0,0,0,0,0,0,0,,0,108,80,786,9.83,5,1,1,5,186.6,3,17,HockTJ00
18,George Kittle,SFO,TE,30,0,0,0,0,0,1,2,2,0,67,50,735,14.7,5,0,0,5,153.7,4,18,KittGe00
19,Nico Collins,HOU,WR,24,0,0,0,0,0,0,0,,0,85,59,991,16.8,6,0,0,6,194.1,9,19,CollNi00
20,D.J. Moore,CHI,WR,26,0,0,0,0,0,1,1,1,0,93,70,1003,14.33,6,1,1,6,204.4,10,20,MoorD.00
21,Derrick Henry,TEN,RB,29,1,2,2,1,0,197,841,4.27,8,28,22,185,8.41,0,0,0,8,176.7,4,21,HenrDe00
22,Puka Nacua,LAR,WR,22,0,0,0,0,0,5,45,9,0,118,77,1029,13.36,4,1,0,4,208.4,11,22,NacuPu00
23,Brandon Aiyuk,SFO,WR,25,0,0,0,0,0,0,0,,0,72,50,927,18.54,6,0,0,6,178.7,12,23,AiyuBr00
24,Kyren Williams,LAR,RB,23,0,0,0,0,0,134,687,5.13,7,35,22,190,8.64,3,1,0,10,169.7,5,24,WillKy02
25,Brian Robinson Jr.,WAS,RB,24,0,0,0,0,0,160,664,4.15,5,36,29,326,11.24,3,3,1,8,176,6,25,RobiBr01
